RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL650_none_aortic_HAoEC_none_hsap_1487_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL647_none_aortic_HAoEC_none_hsap_2139_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL649_none_aortic_HAoEC_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam	WL645_none_aortic_HAoEC_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam
NM_000014	1.34784761440406	2.48926480455878	1.28866158077633	0.256294750834564	1	chr12	-	9220303	9268558	A2M	48255	43602	2.48376582326504	-3.46263706015573	3.88595501199188	-3.46263706015573
NM_000015	2.25624913255643e-16	-0.46263889223677	0	1	1	chr8	+	18248754	18258723	NAT2	9969	8591	-3.46263706015573	-3.46263706015573	-3.46263706015573	-3.46263706015573
NM_000016	-0.530503360542724	5.75996220358245	0.454012306590924	0.500435706792789	1	chr1	+	76190031	76229363	ACADM	39332	35506	5.75328402515238	6.18220740742273	5.64787269298041	5.23031150449828
NM_000017	-1.50176813948607	2.78560359395925	2.42855500506965	0.119142679395709	0.736019018354121	chr12	+	121163570	121177811	ACADS	14241	12184	1.85927510189709	3.72752664650969	-0.86283855411519	2.86408618130462
NM_000019	2.29884734998289	3.3395693093287	4.23835613695686	0.0395204150558949	0.368441413639852	chr11	+	107992257	108018891	ACAT1	26634	22239	3.52223983509454	-3.46263706015573	4.43771607561562	2.37396859933724
NM_000020	-0.290017629487465	8.65830785429393	0.145580926919607	0.702794667535394	1	chr12	+	52301201	52317145	ACVRL1	15944	11540	8.94770961479577	8.62975839853751	8.45864862223206	8.53867627292951
NM_000022	0.978496524941859	4.67014549958998	1.500776025892	0.220551996267123	1	chr20	-	43248162	43280376	ADA	32214	28552	3.83196745145058	4.27189133218565	5.18445990920622	4.88019719261863
NM_000023	2.25624913255643e-16	-0.46263889223677	0	1	1	chr17	+	48243365	48253293	SGCA	9928	6753	-3.46263706015573	-3.46263706015573	-3.46263706015573	-3.46263706015573
NM_000025	2.25624913255643e-16	-0.46263889223677	0	1	1	chr8	-	37820513	37824184	ADRB3	3671	734	-3.46263706015573	-3.46263706015573	-3.46263706015573	-3.46263706015573
NM_000029	2.25624913255643e-16	-0.46263889223677	0	1	1	chr1	-	230838271	230850336	AGT	12065	9484	-3.46263706015573	-3.46263706015573	-3.46263706015573	-3.46263706015573
