RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL698_none_na_NA_none_hsap_1487_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL700_none_na_NA_none_hsap_2139_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL699_none_na_NA_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL701_none_na_NA_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam
NM_000014	0.182047029502732	3.75368600415688	0.200379024347283	0.654415082287467	1	chr12	-	9220303	9268558	A2M	48255	43386	4.31290325878462	1.03253073205118	4.24656196647965	2.56134209221198
NM_000015	1.13597931794221e-16	0.847704660240231	0	1	1	chr8	+	18248754	18258723	NAT2	9969	8591	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000016	-0.100540046674811	5.65490656460814	0.235353863475214	0.62758212483072	1	chr1	+	76190031	76229363	ACADM	39332	32559	5.61245823750437	5.70358810229627	5.62499610226472	5.4821889814535
NM_000017	-0.257264651845019	3.30693195763277	0.285577495906258	0.593068614184973	1	chr12	+	121163570	121177811	ACADS	14241	12184	3.38919485561989	2.90834648345811	3.04678773429837	2.77585831678083
NM_000019	-0.523403924399369	6.92374566069081	12.7362252608596	0.000358640793940512	0.0150246464617808	chr11	+	107992257	108018891	ACAT1	26634	22239	7.1151122223871	7.1613467622492	6.44069897150552	6.78125589621175
NM_000020	-0.106702438700269	7.90663302143584	1.05773130875843	0.303733191684868	0.790487964365746	chr12	+	52301201	52317145	ACVRL1	15944	11538	7.91891917693585	7.97948566343927	7.87185427725873	7.81051094306499
NM_000022	-0.437153109996808	3.89164049513504	1.2856546181119	0.256850296167178	0.731265354163653	chr20	-	43248162	43280376	ADA	32214	28524	4.18321302224445	3.59206327852463	3.67012289555177	3.27614506233883
NM_000023	1.13597931794221e-16	0.847704660240231	0	1	1	chr17	+	48243365	48253293	SGCA	9928	6721	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000025	1.13597931794221e-16	0.847704660240231	0	1	1	chr8	-	37820513	37824184	ADRB3	3671	734	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000029	1.13597931794221e-16	0.847704660240231	0	1	1	chr1	-	230838271	230850336	AGT	12065	9484	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000030	1.13597931794221e-16	0.847704660240231	0	1	1	chr2	+	241808161	241818536	AGXT	10375	7614	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
NM_000031	0.0579514714376131	4.70529234026112	0.0411234935422633	0.839299734361636	1	chr9	-	116148591	116163618	ALAD	15027	11370	4.69241677930869	4.46419820006904	4.93515532042862	4.25929676673689
NM_000032	3.19685948528981	1.16967482028682	2.85387410266438	0.0911540388262707	0.539088554680419	chrX	-	55035487	55057497	ALAS2	22010	19872	-2.15229079618372	-2.15229079618372	0.161112339983076	0.228016396653699
NM_000033	-0.213606942150061	5.02748460848587	0.678816433271226	0.409994579188593	0.901294072974091	chrX	+	152990322	153010216	ABCD1	19894	16202	5.17425286158401	4.91961426243761	4.60532763072292	5.05937031926983
NM_000034	-0.242364569913346	8.48570524068754	8.74907370855828	0.00309759354517696	0.0824821015352562	chr16	+	30064410	30081741	ALDOA	17331	13861	8.65330881157895	8.53067078377743	8.41164565716868	8.28768243177555
NM_000035	1.13597931794221e-16	0.847704660240231	0	1	1	chr9	-	104182841	104198062	ALDOB	15221	11895	-2.15229079618372	-2.15229079618372	-2.15229079618372	-2.15229079618372
