RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL650_none_aortic_HAoEC_none_hsap_1487_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL647_none_aortic_HAoEC_none_hsap_2139_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL649_none_aortic_HAoEC_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam	WL645_none_aortic_HAoEC_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam
NM_000014	1.41654000144519	2.39260848758391	2.82283597573789	0.0929320737933586	0.811826723649459	chr12	-	9220303	9268558	A2M	48255	4653	3.28777058359246	-6.92635048729141	3.42043282619151	-1.23063171943846
NM_000015	-5.29597228643612	-2.85886358767052	9.56207570927285	0.00198638373182052	0.0418910190570346	chr8	+	18248754	18258723	NAT2	9969	1317	-6.92635048729141	-1.83830408557689	-6.9263504872914	-6.92635048729141
NM_000016	0.409418105160999	2.28936706624587	0.376813025178869	0.539313805825918	1	chr1	+	76190031	76229363	ACADM	39332	2622	1.16584399931736	2.71208240074779	2.67867452658998	2.04669771120132
NM_000017	1.42178376670285	0.789117130419618	6.54416315852174	0.0105228813183108	0.163212388539042	chr12	+	121163570	121177811	ACADS	14241	1917	-1.20417828756478	0.417062511527164	0.102945250999679	1.91433637305675
NM_000019	-0.590771475943881	1.5183399862474	0.945964140364424	0.330748722622214	1	chr11	+	107992257	108018891	ACAT1	26634	2134	1.39723137267539	1.82244220478543	-0.0724926441701824	2.0172128322701
NM_000020	-0.139659717712847	8.64186052237831	0.0866504570357733	0.768479393057332	1	chr12	+	52301201	52317145	ACVRL1	15944	4263	8.71040644519149	8.70624245617461	8.47426624081165	8.66303222371849
NM_000022	0.404865129124366	3.98082127640609	0.689622649761773	0.406292761169608	1	chr20	-	43248162	43280376	ADA	32214	1532	3.87407485707521	3.58995018082508	4.49260788239617	3.78067773498196
NM_000023	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	48243365	48253293	SGCA	9928	1433	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000024	-2.03237515235975	1.13639829097655	9.36356921320451	0.00221340709203926	0.04598627663001	chr5	+	148206155	148208197	ADRB2	2042	2042	1.59658605101848	1.82244220478543	-1.57285595670214	0.699673319769688
NM_000025	1.6665552997375e-17	-3.92635065335074	0	1	1	chr8	-	37820513	37824184	ADRB3	3671	2646	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000029	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	-	230838271	230850336	AGT	12065	2581	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000030	1.6665552997375e-17	-3.92635065335074	0	1	1	chr2	+	241808161	241818536	AGXT	10375	1598	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000031	-0.119242914803398	5.82591301972477	0.0624078013494689	0.802730005666366	1	chr9	-	116148591	116163618	ALAD	15027	3183	5.8327320168974	5.92976807012139	5.84489556905572	5.67930783874369
NM_000032	1.6665552997375e-17	-3.92635065335074	0	1	1	chrX	-	55035487	55057497	ALAS2	22010	2027	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000033	0.111019022625794	6.50386505788648	0.0543184205610281	0.815712387905967	1	chrX	+	152990322	153010216	ABCD1	19894	3664	6.26490539840913	6.61639587630224	6.49876679497909	6.60474339260813
NM_000034	-0.0651583234878371	10.6114460712701	0.0189187410525165	0.890599698246303	1	chr16	+	30064410	30081741	ALDOA	17331	2390	10.746917780893	10.5361830998404	10.5991269157845	10.5536603337873
NM_000035	1.6665552997375e-17	-3.92635065335074	0	1	1	chr9	-	104182841	104198062	ALDOB	15221	2426	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000036	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	-	115215719	115238239	AMPD1	22520	2406	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000039	1.6665552997375e-17	-3.92635065335074	0	1	1	chr11	-	116706468	116708338	APOA1	1870	897	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000040	1.6665552997375e-17	-3.92635065335074	0	1	1	chr11	+	116700623	116703787	APOC3	3164	533	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000041	1.83862807506791	-0.269788564414549	1.89637798192691	0.168484299019619	1	chr19	+	45409038	45412650	APOE	3612	1180	-6.92635048729141	0.168763953512833	0.400433203284914	-0.623674755721449
NM_000042	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	-	64208146	64225556	APOH	17410	1201	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000044	0.0987795327783042	7.22453067178688	0.0425172622322663	0.836636918599631	1	chrX	+	66763873	66950461	AR	186588	10656	7.74604238678139	6.00079377099898	8.01328740723285	5.9306213033392
NM_000045	1.6665552997375e-17	-3.92635065335074	0	1	1	chr6	+	131894343	131905472	ARG1	11129	1472	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000046	0.252568853295405	6.84379191816516	0.278471449770763	0.597704837211455	1	chr5	-	78073036	78282357	ARSB	209321	6071	6.8984711432078	6.45417051439564	7.31110148296075	6.54659452927207
NM_000048	-0.442204469763386	3.89949271495702	0.786087441273104	0.375285825549672	1	chr7	+	65540775	65558329	ASL	17554	1936	4.01055231599548	4.16612658348785	3.88807493918978	3.40534612906209
NM_000051	0.0185611954491077	4.42675392108749	0.00146353783983244	0.969483402103115	1	chr11	+	108093558	108239826	ATM	146268	13147	3.9784362700445	4.69904601865233	3.80166032973218	4.91024425132287
NM_000053	0.652706280771972	2.91462320869922	1.71621378303856	0.190181144624093	1	chr13	-	52506805	52585630	ATP7B	78825	6641	2.40467800483332	2.66483702339721	3.31742139412878	3.05979543887456
NM_000054	1.6665552997375e-17	-3.92635065335074	0	1	1	chrX	+	153170528	153172620	AVPR2	2092	1625	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000055	1.6665552997375e-17	-3.92635065335074	0	1	1	chr3	-	165490691	165555253	BCHE	64562	2447	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000056	1.86554443243411	0.629956908055497	0.889355885770124	0.345651916432217	1	chr6	+	80816343	81055987	BCKDHB	239644	1550	1.61341426343376	-6.92635048729141	-0.136056155616198	0.990101620167634
NM_000059	-0.311303316432666	3.31849322349166	0.411280901240126	0.521320085469946	1	chr13	+	32889616	32973809	BRCA2	84193	11386	3.34430739749156	3.5644326785592	3.1806298915821	3.10721075701095
NM_000062	2.66534638638909	0.0233158553158633	3.02851501523072	0.0818128626123771	0.746020354805412	chr11	+	57365026	57382326	SERPING1	17300	1966	-6.92635048729141	-0.640354734624122	1.48313059869577	-1.05333791030744
NM_000064	-1.1040219483349	-1.17285859784185	1.47167929100011	0.225080926223189	1	chr19	-	6677845	6720662	C3	42817	5101	-1.09080485985984	-1.2161024850134	-6.9263504872914	-0.753179770940338
NM_000067	-4.94356528498958	-3.03559017580104	7.8833694604481	0.00498914391006081	0.0891362333667279	chr8	+	86376130	86393721	CA2	17591	1666	-6.92635048729141	-2.18880619468969	-6.9263504872914	-6.92635048729141
NM_000069	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	-	201008639	201081694	CACNA1S	73055	6168	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000073	1.6665552997375e-17	-3.92635065335074	0	1	1	chr11	+	118215058	118224497	CD3G	9439	1311	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000074	1.6665552997375e-17	-3.92635065335074	0	1	1	chrX	+	135730335	135742549	CD40LG	12214	1833	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_000075	0.094486741784029	6.89711804602477	0.0395981161540706	0.842268412699814	1	chr12	-	58141509	58146230	CDK4	4721	2002	6.99272705336267	6.6957684335974	6.99142461506151	6.8860197136457
