RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL698_none_na_NA_none_hsap_1487_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL700_none_na_NA_none_hsap_2139_Basal_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL699_none_na_NA_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam	WL701_none_na_NA_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_sortedByReadname_real_uniq.bam
NM_000014	0.304407826280175	2.24741057543943	2.78653847195192	0.0950593652611527	0.535553271495546	chr12	-	9220303	9268558	A2M	48255	4521	2.92874860886859	-1.15604629383943	3.28620281504988	-2.14359041923137
NM_000015	-2.24272816127509	-2.81280127764907	1.26349113506786	0.260991299415179	0.742500239920437	chr8	+	18248754	18258723	NAT2	9969	1317	-5.9827175065999	-3.68668331519673	-5.9827175065999	-5.9827175065999
NM_000016	-0.0517360461603344	5.49153233209823	0.441938653487625	0.506188231081048	0.991516062440127	chr1	+	76190031	76229363	ACADM	39332	2622	5.53323092606906	5.49116069854317	5.38237264129527	5.54030252385898
NM_000017	-0.165302549873353	2.0507412482586	0.770192944514781	0.3801573700163	0.887549744332406	chr12	+	121163570	121177811	ACADS	14241	1917	1.99657278998341	2.17971066257525	1.76114110069944	2.07924647723845
NM_000019	-0.124660287225422	5.72397983398015	3.37613474495046	0.0661470138378305	0.462500520136441	chr11	+	107992257	108018891	ACAT1	26634	2134	5.74143601406167	5.81971685882046	5.63241399888868	5.67914512310143
NM_000020	-0.0676992722366751	8.36748704551771	2.19688765092107	0.138289705820118	0.625927402339452	chr12	+	52301201	52317145	ACVRL1	15944	4263	8.41594195386646	8.38418804727226	8.34423994530314	8.32057054408502
NM_000022	-0.0906862138312545	2.89291733849171	0.396300767332387	0.529005905179014	1	chr20	-	43248162	43280376	ADA	32214	1532	2.95072951906868	2.87060757281951	2.99512300297095	2.61362297472042
NM_000023	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr17	+	48243365	48253293	SGCA	9928	1433	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000024	-0.835063401075389	1.85555600847051	16.2739580514834	5.48121109955323e-05	0.00254244902105502	chr5	+	148206155	148208197	ADRB2	2042	2042	2.11809969867176	2.17971066257525	0.896760901942697	1.66600739158719
NM_000025	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr8	-	37820513	37824184	ADRB3	3671	2646	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000029	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr1	-	230838271	230850336	AGT	12065	2581	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000030	-8.5718677548981e-17	-2.98271782599268	0	1	1	chr2	+	241808161	241818536	AGXT	10375	1598	-5.9827175065999	-5.9827175065999	-5.9827175065999	-5.9827175065999
NM_000031	-0.00910044544831439	5.67914045638915	0.0172918132387903	0.895381100214047	1	chr9	-	116148591	116163618	ALAD	15027	3183	5.84188871702008	5.49314308809669	5.80167061357453	5.52059103551287
NM_000032	1.49746062964053	-2.39773427389124	1.24560217228574	0.264394103840441	0.745257434492156	chrX	-	55035487	55057497	ALAS2	22010	2027	-3.75117937002964	-5.9827175065999	-2.80461894623971	-3.53984130733953
NM_000033	0.000216470465253158	3.96672392283243	4.29026875714555e-06	0.998347345767073	1	chrX	+	152990322	153010216	ABCD1	19894	3664	3.85915083895655	4.05230677585227	3.81599779038712	4.09309702971262
